,Id,SalePrice
0,1461,113256.7695938783
1,1462,136811.01454360352
2,1463,174901.68834287356
3,1464,190322.3633477202
4,1465,187149.75960868635
5,1466,171717.29418788734
6,1467,177021.06427812309
7,1468,160667.1138548926
8,1469,214355.9659356357
9,1470,111282.59200867148
10,1471,174638.14583675904
11,1472,100492.79065826202
12,1473,88995.62479523974
13,1474,146679.7519970456
14,1475,100803.72471233312
15,1476,347045.46348607773
16,1477,229243.23620578178
17,1478,327761.18810708995
18,1479,310293.3635611825
19,1480,460096.05500681454
20,1481,297338.2807413898
21,1482,208199.725067811
22,1483,171659.92091972416
23,1484,173446.89052451088
24,1485,203173.8360248174
25,1486,205089.8205488629
26,1487,306340.6481124343
27,1488,222871.66315544964
28,1489,187768.0591622045
29,1490,247318.3922193207
30,1491,197451.64299980065
31,1492,103817.7229674762
32,1493,217807.8405248158
33,1494,270587.6372583929
34,1495,256459.113808537
35,1496,258750.62659993648
36,1497,167057.60088657803
37,1498,166087.92810950548
38,1499,164923.9512944584
39,1500,156361.27946727216
40,1501,207311.56909881267
41,1502,151152.2408752125
42,1503,289616.81883061666
43,1504,242214.4168535782
44,1505,221432.68428803413
45,1506,196811.57699188843
46,1507,241536.07800454966
47,1508,187095.68988950385
48,1509,157388.37206500027
49,1510,137497.52470306383
50,1511,144511.53043188067
51,1512,170893.36879421974
52,1513,147104.6058190041
53,1514,126990.8975295221
54,1515,203605.94504359178
55,1516,168202.97311918653
56,1517,177517.5440325069
57,1518,130970.46919574318
58,1519,222437.17657687198
59,1520,114830.85995934177
60,1521,119476.19455906522
61,1522,191343.0819633646
62,1523,102077.81189927537
63,1524,122998.47930876071
64,1525,106853.9439962628
65,1526,100764.16239840526
66,1527,95090.4193879324
67,1528,143513.42268629523
68,1529,132856.92166207626
69,1530,229864.22950007362
70,1531,159008.11166681774
71,1532,105943.88159770999
72,1533,148936.47628605412
73,1534,125823.76619926144
74,1535,141715.61338543697
75,1536,105713.50797971725
76,1537,27508.683025035913
77,1538,172203.22797428683
78,1539,203822.05256842877
79,1540,114263.39200265081
80,1541,143128.9262175127
81,1542,132260.46430793073
82,1543,174802.38009759685
83,1544,84449.93685818442
84,1545,103476.86389768973
85,1546,134846.83582146565
86,1547,140606.32194126118
87,1548,135125.57812281788
88,1549,109660.74352729367
89,1550,134026.8767898712
90,1551,112375.96809217853
91,1552,147633.06944263336
92,1553,155106.7900176745
93,1554,110972.96102868953
94,1555,157459.45561544277
95,1556,79804.12664937117
96,1557,104124.45341655498
97,1558,93051.32302211871
98,1559,70877.08579358265
99,1560,137582.76720202502
100,1561,115345.47129232153
101,1562,125372.44641760773
102,1563,123179.6485929847
103,1564,156520.54722189542
104,1565,151149.71722786478
105,1566,252935.42959923708
106,1567,73854.25577290892
107,1568,241474.11514176594
108,1569,125554.78079452009
109,1570,155788.4950154451
110,1571,92896.61478704517
111,1572,144962.8791633073
112,1573,257309.95996089777
113,1574,133532.04932116412
114,1575,256703.8705050239
115,1576,233860.50757940437
116,1577,190300.24494298513
117,1578,148702.17469461175
118,1579,130695.96696030846
119,1580,193466.8401431511
120,1581,162556.82458560134
121,1582,130596.50553627552
122,1583,272146.6761838763
123,1584,222763.55065384545
124,1585,140226.87762498978
125,1586,70932.18954790394
126,1587,97658.25609011915
127,1588,179377.80034071289
128,1589,98799.64414679559
129,1590,127472.39175458124
130,1591,89640.79839381663
131,1592,126775.93474251055
132,1593,139288.49505193846
133,1594,128957.08383907429
134,1595,107244.3805452775
135,1596,210004.76824933733
136,1597,176823.50318321303
137,1598,182964.09403672328
138,1599,208148.9367747224
139,1600,196534.37303875762
140,1601,36041.36170935343
141,1602,124211.96328659894
142,1603,77924.59892655967
143,1604,280853.25669614703
144,1605,247627.2766562059
145,1606,156582.68200891942
146,1607,153148.65108063078
147,1608,217742.31983064956
148,1609,187026.35569626646
149,1610,148045.65886284085
150,1611,136610.54329593186
151,1612,191756.46112318576
152,1613,166668.55359104878
153,1614,154597.15307875714
154,1615,84957.93672635278
155,1616,53259.32305746456
156,1617,79825.91396831285
157,1618,115853.53819270499
158,1619,153552.6708167189
159,1620,172211.68346818633
160,1621,129593.28388364907
161,1622,160061.9223418401
162,1623,264601.701418072
163,1624,209145.54813166693
164,1625,110904.05094098931
165,1626,177585.04818951237
166,1627,184029.27974264298
167,1628,289838.06515871314
168,1629,183063.68372455283
169,1630,314342.0728725061
170,1631,194259.37136388806
171,1632,214131.72761054608
172,1633,196515.57938469262
173,1634,198003.6523798631
174,1635,184710.11537249867
175,1636,156596.73972676948
176,1637,188165.18525927103
177,1638,197157.50728700106
